Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Kentucky,SEC,13.97,10.75,24.73,121.13,84.59,36.55
2,Ohio State,Big Ten,12.58,11.37,23.95,116.89,81.75,35.13
3,Kansas,Big 12,11.17,10.55,21.72,114.92,83.11,31.81
4,North Carolina,ACC,17.03,4.30,21.34,114.54,85.44,29.10
5,Michigan State,Big Ten,8.73,12.58,21.32,114.39,82.72,31.66
6,Syracuse,Big East,11.14,9.99,21.12,117.57,86.64,30.93
7,Missouri,Big 12,16.13,3.64,19.77,124.44,95.02,29.42
8,Wisconsin,Big Ten,0.58,18.47,19.04,113.60,83.18,30.42
9,Indiana,Big Ten,14.53,4.10,18.63,119.86,92.62,27.24
10,Florida,SEC,13.34,4.91,18.25,120.00,93.43,26.58
11,Wichita State,MVC,10.64,6.79,17.42,114.53,88.95,25.58
12,Duke,ACC,13.75,3.30,17.05,117.60,93.07,24.54
13,Marquette,Big East,12.11,4.82,16.92,111.68,87.54,24.13
14,Memphis,CUSA,11.14,5.72,16.86,112.77,87.91,24.86
15,Georgetown,Big East,4.49,12.32,16.81,110.96,85.48,25.48
16,Baylor,Big 12,10.20,6.34,16.54,114.50,90.31,24.19
17,Louisville,Big East,4.73,11.46,16.19,105.66,81.90,23.77
18,Vanderbilt,SEC,9.36,6.35,15.71,114.33,90.89,23.45
19,New Mexico,MWC,6.64,8.96,15.60,109.67,87.01,22.66
20,Saint Louis,A-10,2.48,12.67,15.15,110.16,86.36,23.80
21,Florida State,ACC,6.00,8.54,14.53,106.03,85.38,20.65
22,Kansas State,Big 12,7.66,6.81,14.47,108.96,87.94,21.02
23,Texas,Big 12,8.00,6.00,14.00,111.86,91.46,20.40
24,Purdue,Big Ten,8.62,5.26,13.88,114.80,94.02,20.79
25,Gonzaga,WCC,6.89,6.97,13.86,111.35,90.79,20.56
26,California,Pac-12,6.47,7.33,13.79,110.08,89.59,20.49
27,Alabama,SEC,0.16,13.60,13.76,105.78,85.22,20.57
