
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Kentucky,SEC,12.07,17.38,29.45,121.24,76.37,44.86
2,Wisconsin,Big Ten,9.72,15.28,25.00,127.07,87.01,40.06
3,Arizona,Pac-12,13.05,11.75,24.80,118.32,81.37,36.96
4,Duke,ACC,18.03,6.11,24.14,126.42,89.47,36.95
5,Villanova,Big East,13.06,10.27,23.33,121.21,85.61,35.60
6,Virginia,ACC,2.38,20.24,22.62,116.59,79.06,37.53
7,Gonzaga,WCC,13.38,8.52,21.90,120.99,87.70,33.30
8,North Carolina,ACC,17.34,3.98,21.32,118.59,87.24,31.35
9,Utah,Pac-12,6.81,14.49,21.30,117.81,84.81,33.00
10,Ohio State,Big Ten,12.43,8.00,20.43,117.96,87.95,30.01
11,Oklahoma,Big 12,10.17,9.75,19.92,111.87,82.10,29.77
12,Kansas,Big 12,11.58,7.98,19.56,115.95,86.41,29.54
13,Notre Dame,ACC,15.20,4.21,19.42,125.65,95.95,29.70
14,Iowa State,Big 12,16.92,2.25,19.17,120.06,91.53,28.53
15,Baylor,Big 12,7.27,11.73,19.00,116.69,87.39,29.30
16,Louisville,ACC,6.50,12.15,18.65,110.01,82.39,27.62
17,Michigan State,Big Ten,9.80,7.73,17.53,115.80,88.74,27.06
18,Texas,Big 12,6.04,11.01,17.05,112.80,86.48,26.32
19,Butler,Big East,5.52,11.18,16.71,110.61,85.10,25.51
20,West Virginia,Big 12,11.85,4.54,16.39,112.93,88.52,24.40
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
21,Georgetown,Big East,8.14,7.92,16.06,113.28,88.39,24.89
22,Iowa,Big Ten,6.98,8.84,15.82,113.01,88.97,24.04
23,Xavier,Big East,11.39,3.88,15.28,116.04,92.61,23.43
24,Wichita State,MVC,4.91,10.25,15.16,113.20,88.19,25.01
25,Arkansas,SEC,14.65,0.10,14.75,114.38,93.07,21.32
26,Providence,Big East,8.04,6.43,14.47,111.93,89.98,21.95
27,Brigham Young,WCC,18.20,-3.91,14.29,118.20,96.80,21.40
28,North Carolina State,ACC,8.46,5.79,14.25,114.09,92.41,21.68
29,Maryland,Big Ten,5.99,8.09,14.08,111.50,89.81,21.69
30,Oklahoma State,Big 12,5.72,8.27,13.99,111.52,90.08,21.45
31,Florida,SEC,1.64,11.97,13.61,108.62,86.56,22.07
32,Illinois,Big Ten,6.53,6.88,13.41,110.45,90.68,19.77
33,Indiana,Big Ten,14.48,-1.10,13.38,120.08,99.69,20.39
34,Purdue,Big Ten,6.40,6.98,13.38,110.44,89.83,20.61
35,Southern Methodist,AAC,5.14,8.09,13.24,112.75,91.32,21.43
36,Davidson,A-10,14.03,-0.89,13.15,119.52,99.48,20.04
37,Virginia Commonwealth,A-10,9.19,3.72,12.92,110.31,90.50,19.81
38,Georgia,SEC,5.83,7.02,12.85,109.14,89.29,19.84
39,Minnesota,Big Ten,10.72,1.94,12.66,112.33,93.46,18.87
40,St. John's (NY),Big East,7.15,5.36,12.51,109.41,90.11,19.30
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
41,Miami (FL),ACC,5.36,7.13,12.49,112.32,92.40,19.93
42,Northern Iowa,MVC,0.72,11.68,12.40,113.67,91.14,22.53
43,UCLA,Pac-12,9.09,3.13,12.22,111.66,93.44,18.22
44,Stanford,Pac-12,8.31,3.81,12.12,112.89,93.82,19.08
45,Syracuse,ACC,4.72,7.41,12.12,106.41,87.62,18.78
46,San Diego State,MWC,-2.51,14.53,12.02,102.99,83.14,19.85
47,Mississippi,SEC,9.52,2.36,11.88,112.84,94.36,18.48
48,Vanderbilt,SEC,6.80,5.05,11.85,114.56,95.77,18.78
