season,daynum,wteam,wscore,lteam,lscore,wloc,numot,line_wloc,line,lineavg,linesag,linesage,linesagp,linepom,linemoore,linepugh,lineopen,linedok,linefox,linepig
2006,19,1133,75,1177,60,A,0,A,.00,-11.03,-10.11,-10.11,-10.11,-12.37,-11.53,,,,,
2006,19,1153,79,1293,75,H,1,H,10.00,16.54,15.11,15.11,15.11,14.49,21.46,,,,,
2006,19,1176,44,1379,30,N,0,N,5.50,5.37,4.97,4.97,4.97,3.54,8.02,,,,,
2006,19,1181,84,1172,55,H,0,H,26.00,23.81,22.28,22.28,22.28,23.95,26.73,,,,,
2006,19,1218,84,1277,62,H,0,H,-6.50,-9.80,-7.39,-7.39,-7.39,-9.22,-15.21,,,,,
2006,19,1220,64,1198,51,H,0,H,11.50,12.59,11.92,11.92,11.92,12.44,14.07,,,,,
2006,19,1227,66,1361,63,N,0,N,-6.00,.04,1.98,1.98,1.98,2.31,-6.12,,,,,
2006,19,1237,58,1349,56,N,0,N,.50,-4.16,-4.02,-4.02,-4.02,-6.11,-2.48,,,,,
2006,19,1244,79,1249,60,N,0,A,,-20.01,-27.61,-27.61,-27.61,-18.63,-6.17,,,,,
2006,19,1257,78,1404,61,H,0,H,28.00,32.97,31.35,31.35,31.35,31.00,38.19,,27.50,,,
2006,19,1259,80,1406,67,A,0,A,-3.00,-10.03,-12.92,-12.92,-12.92,-7.16,-7.12,,,,,
2006,19,1280,64,1151,48,H,0,H,6.00,15.18,16.44,16.44,16.44,18.26,9.58,,,,,
2006,19,1283,87,1296,51,H,0,H,7.50,11.76,11.02,11.02,11.02,11.29,13.70,,,,,
2006,19,1301,91,1154,59,H,0,H,30.00,34.43,29.27,29.27,29.27,36.28,42.88,,,,,
2006,19,1304,73,1463,64,H,0,H,15.50,13.19,14.31,14.31,14.31,9.88,14.25,,16.50,,,
2006,19,1305,82,1170,74,H,0,H,21.00,22.98,21.46,21.46,21.46,24.03,24.95,,,,,
2006,19,1307,95,1279,42,H,0,H,5.00,9.55,5.45,5.45,5.45,6.62,20.68,,,,,
2006,19,1328,68,1359,41,H,0,H,27.50,25.97,22.86,22.86,22.86,23.45,34.70,,,,,
2006,19,1330,65,1200,52,N,0,N,9.50,8.85,8.89,8.89,8.89,12.63,5.00,,,,,
2006,19,1336,66,1165,54,H,0,H,5.50,6.09,8.33,8.33,8.33,-2.59,10.30,,,,,
2006,19,1338,82,1389,71,H,0,H,7.50,22.15,20.76,20.76,20.76,26.91,20.17,,,,,
2006,19,1345,82,1459,75,H,0,H,10.00,14.58,14.18,14.18,14.18,12.75,17.22,,,,,
2006,19,1371,75,1265,72,H,0,H,12.00,18.49,16.54,16.54,16.54,20.71,20.17,,,,,
2006,19,1414,79,1390,63,A,0,A,-15.50,-17.55,-16.29,-16.29,-16.29,-17.55,-20.08,,,,,
2006,19,1450,86,1415,55,H,0,H,17.00,15.62,13.34,13.34,13.34,16.10,19.70,,,,,
2006,19,1457,71,1266,64,A,0,A,-3.00,-9.53,-11.66,-11.66,-11.66,-9.43,-5.35,,,,,
2006,19,1458,95,1184,89,N,2,N,12.00,16.96,18.35,18.35,18.35,19.30,11.83,,,,,
2006,19,1462,80,1183,35,H,0,H,21.50,22.78,20.13,20.13,20.13,22.51,28.35,,,,,
2006,20,1169,81,1425,76,A,1,A,-6.00,-7.05,-6.34,-6.36,-6.19,-6.47,-9.16,,,,,
2006,20,1176,52,1227,48,N,1,N,2.00,-.16,-1.46,-2.78,-.40,.78,1.76,,,,,
2006,20,1179,69,1178,61,H,0,H,1.00,1.39,1.31,1.29,1.51,-1.07,3.83,,,,,
2006,20,1184,67,1313,60,N,0,N,10.00,10.53,8.93,5.47,12.60,11.89,12.14,,,,,
2006,20,1208,79,1200,68,N,0,N,2.50,5.00,4.75,4.75,4.76,7.18,3.31,,,,,
2006,20,1249,92,1286,82,N,0,N,-.50,-7.56,-8.94,-8.15,-9.68,-10.11,-2.30,,,,,
2006,20,1301,73,1174,57,H,0,H,20.50,19.53,13.28,10.38,16.96,22.17,28.62,,,,,
2006,20,1304,59,1256,56,H,0,H,8.00,10.01,10.23,13.65,7.20,10.01,9.17,,9.50,,,
2006,20,1320,68,1441,46,N,0,H,19.50,20.12,18.66,18.15,18.98,19.76,23.59,,20.50,,,
2006,20,1339,92,1415,74,H,0,H,13.00,4.25,1.55,2.45,-.34,2.59,12.29,,,,,
2006,20,1353,66,1122,46,H,0,H,13.50,12.45,10.53,9.25,11.74,11.52,17.30,,,,,
2006,20,1361,79,1379,51,N,0,N,7.50,8.07,6.09,4.15,8.16,8.05,11.92,,,,,
2006,20,1363,72,1142,57,A,0,A,1.00,.23,-.52,-.29,-1.34,.69,1.86,,,,,
2006,20,1376,85,1405,73,H,0,H,11.50,12.79,11.75,10.51,13.29,10.10,17.27,,,,,
2006,20,1399,90,1333,62,H,0,H,-2.00,-1.86,.49,.82,.22,-2.91,-5.57,,-1.50,,,
2006,20,1435,81,1202,60,H,0,H,15.00,18.49,16.13,15.95,16.02,17.57,24.43,,,,,
2006,21,1111,51,1433,47,H,0,H,-2.00,.21,-.04,-.78,.84,1.16,-.38,,-1.50,,,
2006,21,1112,61,1242,49,N,0,N,5.00,4.80,3.46,3.93,2.55,-.70,13.40,,5.00,,,
2006,21,1141,67,1453,62,H,0,H,1.00,-.58,.72,-.66,2.15,-2.76,-1.05,,-1.50,,,
2006,21,1143,88,1253,69,H,0,H,13.50,15.38,13.96,11.67,16.62,17.27,15.94,,12.00,,,
2006,21,1161,83,1160,82,H,0,H,-2.00,-5.73,-5.20,-4.72,-5.71,-8.34,-4.16,,-1.50,,,
2006,21,1163,77,1116,68,N,0,N,4.50,9.95,9.42,11.36,6.64,13.11,8.71,,7.00,,,
2006,21,1180,72,1351,60,H,0,H,11.00,15.84,16.79,19.06,14.78,17.85,11.67,,12.00,,,
2006,21,1200,72,1313,53,N,0,N,10.00,6.94,4.83,4.86,4.85,3.42,14.61,,12.00,,,
2006,21,1207,73,1241,66,A,0,A,14.00,17.17,14.61,13.82,14.73,14.55,25.56,,14.00,,,
2006,21,1208,76,1184,68,N,0,N,3.00,4.18,3.15,3.89,2.41,2.76,7.68,,5.00,,,
2006,21,1210,81,1189,69,H,0,H,18.00,26.58,27.92,27.10,28.13,29.02,22.06,,18.00,,,
2006,21,1211,88,1268,76,N,0,N,-2.00,-2.24,-2.41,.32,-4.84,-2.26,-2.18,,.00,,,
2006,21,1234,67,1246,63,N,0,N,-2.50,-2.19,-1.77,-5.75,1.99,-3.39,-1.62,,-2.00,,,
2006,21,1260,99,1191,86,H,0,H,6.50,4.53,3.80,4.13,3.46,4.58,5.97,,7.50,,,
2006,21,1275,58,1173,42,H,0,H,2.00,.60,.37,.37,.20,-1.03,2.88,,1.50,,,
2006,21,1280,68,1117,63,H,0,H,11.00,16.06,16.75,16.80,16.66,19.18,11.58,,12.00,,,
2006,21,1285,81,1258,75,A,0,A,-11.00,-12.36,-12.48,-10.60,-14.49,-16.95,-7.41,,-11.50,,,
2006,21,1292,60,1429,59,H,0,H,-4.00,-6.02,-5.44,-5.87,-5.14,-4.65,-8.40,,-4.50,,,
2006,21,1310,101,1382,88,H,0,H,10.00,15.62,15.06,15.90,14.37,15.43,16.77,,11.00,,,
2006,21,1335,82,1373,77,H,0,H,14.00,18.24,18.00,18.26,16.96,16.94,20.80,,16.00,,,
2006,21,1364,67,1360,65,H,0,H,7.50,6.74,8.39,5.88,11.05,10.88,-.86,,6.00,,,
2006,21,1386,72,1193,41,A,0,A,5.00,11.09,9.80,10.00,9.62,12.44,12.30,,6.50,,,
2006,21,1400,76,1452,75,N,0,N,6.00,3.96,5.54,3.99,8.87,4.20,-1.23,,7.50,,,
2006,21,1439,71,1267,54,H,0,H,13.00,11.04,6.25,5.76,6.75,9.90,21.75,,13.50,,,
2006,21,1451,66,1129,61,A,0,A,-12.00,-10.46,-8.75,-7.26,-10.07,-10.90,-13.62,,-9.00,,,
2006,21,1458,84,1330,81,N,0,N,-1.00,3.79,4.18,4.00,4.37,5.45,1.35,,.00,,,
2006,22,1116,65,1242,64,N,0,A,3.50,-5.04,-5.78,-8.51,-1.68,-9.09,-.86,,.00,,,
2006,22,1130,92,1138,63,H,0,H,15.50,13.80,12.45,11.99,12.96,15.04,15.19,,15.00,,,
2006,22,1140,76,1450,68,N,0,A,-8.00,-11.20,-11.37,-8.52,-14.45,-13.46,-8.38,,-7.00,,,
2006,22,1153,76,1229,59,H,0,H,18.00,16.62,15.00,16.81,13.94,15.66,20.06,,18.00,,,
2006,22,1163,79,1112,70,N,0,H,.00,4.73,5.30,5.49,5.11,3.63,4.71,,-1.00,,,
2006,22,1166,72,1206,52,A,0,A,-2.50,-6.22,-9.58,-6.91,-15.42,-5.94,3.41,,-2.50,,,
2006,22,1169,77,1409,71,H,0,H,11.00,12.44,13.07,12.32,13.85,14.24,9.34,,10.50,,,
2006,22,1172,66,1269,63,H,0,H,6.50,9.56,10.66,10.14,11.29,10.26,6.54,,7.50,,,
2006,22,1209,99,1174,72,H,0,H,-1.00,.87,-.23,1.04,-1.35,2.35,1.44,,-1.00,,,
2006,22,1211,109,1277,106,N,3,H,-2.00,7.29,8.52,7.68,9.11,12.53,-.18,,-1.50,,,
2006,22,1245,94,1122,67,H,0,H,12.00,8.46,6.51,6.23,6.93,6.40,14.26,,13.00,,,
2006,22,1246,80,1452,66,N,0,H,1.00,5.75,5.73,7.96,2.89,5.11,7.05,,1.00,,,
2006,22,1314,112,1156,55,H,0,H,19.50,28.73,28.39,32.34,26.39,27.21,28.96,,20.00,,,
2006,22,1323,69,1220,50,H,0,H,7.00,11.92,11.97,11.71,12.22,13.10,10.66,,7.00,,,
2006,22,1326,79,1139,69,H,1,H,14.00,13.11,11.70,8.62,14.87,12.03,16.93,,15.00,,,
2006,22,1329,90,1178,56,H,0,H,11.00,14.39,13.73,14.20,13.27,15.40,14.69,,10.50,,,
2006,22,1332,84,1334,62,H,0,H,9.00,5.46,4.73,2.81,7.87,2.66,8.48,,8.00,,,
2006,22,1345,85,1375,67,H,0,H,7.00,13.58,13.13,14.31,11.87,12.49,15.65,,7.00,,,
2006,22,1387,69,1183,45,H,0,H,13.00,14.82,14.14,12.08,16.97,15.37,14.86,,15.00,,,
